Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
123,39,2,2015-01-27T00:00:00.000,,
124,39,2,2015-01-27T00:00:00.000,,
125,41,2,2015-01-27T00:00:00.000,,
126,41,2,2015-01-27T00:00:00.000,,
127,24,2,2015-01-27T00:00:00.000,,
128,1,2,2015-01-27T00:00:00.000,,
129,41,2,2015-01-27T00:00:00.000,,
130,22,2,2015-01-27T00:00:00.000,,
131,37,2,2015-01-27T00:00:00.000,,
132,5,2,2015-01-27T00:00:00.000,,
133,7,2,2015-01-27T00:00:00.000,,
134,8,2,2015-01-27T00:00:00.000,,
135,11,2,2015-01-27T00:00:00.000,,
136,48,2,2015-01-27T00:00:00.000,,
137,49,2,2015-01-27T00:00:00.000,,
138,48,2,2015-01-27T00:00:00.000,,
139,45,2,2015-01-27T00:00:00.000,,
140,19,2,2015-01-27T00:00:00.000,,
141,35,2,2015-01-27T00:00:00.000,,
142,44,16,2015-01-27T00:00:00.000,,
143,1,2,2015-01-27T00:00:00.000,,
144,46,2,2015-01-27T00:00:00.000,,
145,14,2,2015-01-27T00:00:00.000,,
146,52,3,2015-01-27T00:00:00.000,,
147,27,2,2015-01-27T00:00:00.000,,
148,44,2,2015-01-27T00:00:00.000,,
149,55,2,2015-01-27T00:00:00.000,,
150,30,2,2015-01-27T00:00:00.000,,
151,26,2,2015-01-27T00:00:00.000,,
152,34,2,2015-01-27T00:00:00.000,,
153,29,2,2015-01-27T00:00:00.000,,
154,55,2,2015-01-27T00:00:00.000,,
155,41,2,2015-01-27T00:00:00.000,,
156,39,2,2015-01-27T00:00:00.000,,
157,45,2,2015-01-27T00:00:00.000,,
158,56,2,2015-01-27T00:00:00.000,,
159,41,2,2015-01-27T00:00:00.000,,
160,39,2,2015-01-27T00:00:00.000,,
161,13,2,2015-01-27T00:00:00.000,,
162,19,2,2015-01-27T00:00:00.000,,
163,57,2,2015-01-27T00:00:00.000,,
164,14,2,2015-01-27T00:00:00.000,,
165,35,2,2015-01-27T00:00:00.000,,
166,46,2,2015-01-27T00:00:00.000,,
167,57,2,2015-01-27T00:00:00.000,,
168,51,2,2015-01-27T00:00:00.000,,
169,56,2,2015-01-27T00:00:00.000,,
170,36,2,2015-01-27T00:00:00.000,,
171,55,2,2015-01-27T00:00:00.000,,
172,54,2,2015-01-27T00:00:00.000,,
173,53,2,2015-01-27T00:00:00.000,,
174,52,2,2015-01-27T00:00:00.000,,
175,44,2,2015-01-27T00:00:00.000,,
176,39,2,2015-01-27T00:00:00.000,,
177,41,2,2015-01-27T00:00:00.000,,
178,43,2,2015-01-27T00:00:00.000,,
179,47,2,2015-01-27T00:00:00.000,,
180,40,2,2015-01-27T00:00:00.000,,
181,4,2,2015-01-27T00:00:00.000,,
182,37,2,2015-01-27T00:00:00.000,,
183,28,2,2015-01-27T00:00:00.000,,
184,32,2,2015-01-27T00:00:00.000,,
185,31,2,2015-01-27T00:00:00.000,,
186,29,2,2015-01-27T00:00:00.000,,
187,34,2,2015-01-27T00:00:00.000,,
188,16,2,2015-01-27T00:00:00.000,,
189,33,2,2015-01-27T00:00:00.000,,
190,26,2,2015-01-27T00:00:00.000,,
191,30,2,2015-01-27T00:00:00.000,,
